"Folders Plugin";"Folders Plugin"
"Folder / File Sharings Plugin";"Folder / File Sharings Plugin"
"Folder / File Sharings";"Folder / File Sharings"
"Folder";"Folder"
"folder";"folder"
"Folders";"Folders"
"folders";"folders"
"%d folder";"%d folder";"%d folders"
"folder";"folder";"folders"
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%1$s like";"%1$s like";"%1$s likes"
"%d download";"%d download";"%d downloads"
"%d file";"%d file";"%d files"

"ITEM_TYPE_FOLDER";"Folders"
"ITEM_TYPE_FOLDER_ATTACHMENT";"Folder Attachments"

# activity notifications
"ACTIVITY_TYPE_FOLDER_STATUS_UPDATE";"When someone updates status of a folder that I posted."
"ACTIVITY_TYPE_COMMENTED_FOLDER";"When someone comments on a folder I commented on."
"ACTIVITY_TYPE_COMMENT_FOLDER";"When someone comments on one of my folders."
"ACTIVITY_TYPE_LIKED_FOLDER";"When someone comments on a folder I liked."
"ACTIVITY_TYPE_LIKE_FOLDER";"When someone likes one of my folders."

"ADMIN_ACTIVITY_TYPE_FOLDER_NEW";"When a new folder is posted."
"ADMIN_ACTIVITY_TYPE_COMMENT_FOLDER";"When someone comments on my folder."

"_ACTIVITY_ACTIONTYPE_COMMENT_FOLDER";"Comments on your folders"
"_ACTIVITY_ACTIONTYPE_FOLDER_NEW";"New folders"


"Last Updated";"Last Updated"
"Keywords";"Keywords"
"Sort By";"Sort By"
"Nobody has posted any folders with that criteria.";"Nobody has posted any folders with that criteria."

# activity feeds
"{item:$subject} posted a new folder:";"{item:$subject} posted a new folder:"
"{item:$subject} commented on {item:$owner}'s {item:$object:folder}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:folder}: {body:$body}"
"{item:$subject} has commented on your {item:$object:folder}.";"{item:$subject} has commented on your {item:$object:folder}."
"{item:$subject} likes your {item:$object:folder}.";"{item:$subject} likes your {item:$object:folder}."
"{item:$subject} has commented on a {item:$object:folder} you commented on.";"{item:$subject} has commented on a {item:$object:folder} you commented on."
"{item:$subject} has commented on a {item:$object:folder} you liked.";"{item:$subject} has commented on a {item:$object:folder} you liked."
"Your {item:$object} folder status has been updated to {var:$status}.";"Your {item:$object} folder status has been updated to {var:$status}."

# categories
"Applications";"Applications"
"Creatives";"Creatives"
"Documents";"Documents"
"Forms";"Forms"
"Resources";"Resources"
"Others";"Others"

# admin menu
"View Folders";"View Folders"
"Folder Questions";"Folder Questions"
"Categories";"Categories"
"FAQ";"FAQ"
"Featured";"Featured"
"Sponsored";"Sponsored"
"no icon";"no icon"

# admin - categories
"Category Name";"Category Name"
"Folder Categories";"Folder Categories"
"Below are categories which folders can be assigned under.";"Below are categories which folders can be assigned under."
"Move Folder Category";"Move Folder Category"
"Please fill out the form below to create a new folder category.";"Please fill out the form below to create a new folder category."
"Move Folders";"Move Folders"
"You can move folder category from one to another by completing form below.";"You can move folder category from one to another by completing form below."
"Add Folder Category";"Add Folder Category"
"Edit your folder category below, then click ""Save Changes"" to save.";"Edit your folder category below, then click ""Save Changes"" to save."
"Edit Folder Category";"Edit Folder Category"
"Move Folders To Category";"Move Folders To Category"
"Are you sure that you want to delete this category? It will not be recoverable after being deleted. You also have to move existing folders that belong to this deleting category to a new category.";"Are you sure that you want to delete this category? It will not be recoverable after being deleted. You also have to move existing folders that belong to this deleting category to a new category."
"Delete Folder Category?";"Delete Folder Category?"
"Add Category";"Add Category"
"From Category";"From Category"
"To Category";"To Category"

# admin - questions
"Your members will be asked to provide some information about their folders when creating a new folder. Create some folder questions that allow them to provide more detailed folders in a way that relates to the theme of your community. To reorder the folder questions, click on their names and drag them up or down.";"Your members will be asked to provide some information about their folders when creating a new folder. Create some folder questions that allow them to provide more detailed folders in a way that relates to the theme of your community. To reorder the folder questions, click on their names and drag them up or down."
"Show on signup/creation";"Show on signup/creation"
"Hide on signup/creation";"Hide on signup/creation"
"Show on folder page";"Show on folder page"
"Hide on folder page";"Hide on folder page"
"Show on folder page?";"Show on folder page?"
"Show on Signup/Creation?";"Show on Signup/Creation?"

# admin - member levels
"Yes, allow viewing of all folders, even private ones.";"Yes, allow viewing of all folders, even private ones."
"Yes, allow viewing of folders.";"Yes, allow viewing of folders."
"No, do not allow folders to be viewed.";"No, do not allow folders to be viewed."
"Yes, allow creation of folders.";"Yes, allow creation of folders."
"No, do not allow folders to be created.";"No, do not allow folders to be created."
"Yes, allow members to edit all folders.";"Yes, allow members to edit all folders."
"Yes, allow members to edit their own folders.";"Yes, allow members to edit their own folders."
"No, do not allow members to edit their folders.";"No, do not allow members to edit their folders."
"Yes, allow members to delete all folders.";"Yes, allow members to delete all folders."
"Yes, allow members to delete their own folders.";"Yes, allow members to delete their own folders."
"No, do not allow members to delete their folders.";"No, do not allow members to delete their folders."
"Yes, allow members to comment on all folders, including private ones.";"Yes, allow members to comment on all folders, including private ones."
"Yes, allow members to comment on folders.";"Yes, allow members to comment on folders."
"No, do not allow members to comment on folders.";"No, do not allow members to comment on folders."
"Do you want to let members view folders? If set to no, some other settings on this page may not apply.";"Do you want to let members view folders? If set to no, some other settings on this page may not apply."
"Allow Viewing of Folders?";"Allow Viewing of Folders?"
"Allow Creation of Folders?";"Allow Creation of Folders?"
"Do you want to let members edit folders? If set to no, some other settings on this page may not apply.";"Do you want to let members edit folders? If set to no, some other settings on this page may not apply."
"Allow Editing of Folders?";"Allow Editing of Folders?"
"Do you want to let members delete folders? If set to no, some other settings on this page may not apply.";"Do you want to let members delete folders? If set to no, some other settings on this page may not apply."
"Allow Deletion of Folders?";"Allow Deletion of Folders?"
"Do you want to let members of this level comment on folders?";"Do you want to let members of this level comment on folders?"
"Allow Commenting on Folders?";"Allow Commenting on Folders?"
"Allow Folder Profile Style?";"Allow Folder Profile Style?"
"Your members can choose from any of the options checked below when they decide who can see their folders. If you do not check any options, everyone will be allowed to view folders.";"Your members can choose from any of the options checked below when they decide who can see their folders. If you do not check any options, everyone will be allowed to view folders."
"Folders View Privacy";"Folders View Privacy"
"Folder Comment Options";"Folder Comment Options"
"Enter the maximum number of allowed folders. The field must contain an integer, use zero for unlimited.";"Enter the maximum number of allowed folders. The field must contain an integer, use zero for unlimited."
"Maximum Allowed Folders";"Maximum Allowed Folders"
"If you want to allow specific file extensions, you can enter them below (separated by commas, max 255 characters). Example: doc, xls, txt, png, gif, html. Alternatively, you can enter star (*) character to allow all file extensions.";"If you want to allow specific file extensions, you can enter them below (separated by commas, max 255 characters). Example: doc, xls, txt, png, gif, html. Alternatively, you can enter star (*) character to allow all file extensions."
"Allowed File Extensions";"Allowed File Extensions"
# admin - general settings
"Sponsored folders, then user preference";"Sponsored folders, then user preference"
"Sponsored folders, featured folders, then user preference";"Sponsored folders, featured folders, then user preference"
"Featured folders, then user preference";"Featured folders, then user preference"
"Featured folders, sponsored folders, then user preference";"Featured folders, sponsored folders, then user preference"
"Folder License Key";"Folder License Key"
"How many folders will be shown per page? (Enter a number between 1 and 100)";"How many folders will be shown per page? (Enter a number between 1 and 100)"
"Folders Per Page";"Folders Per Page"
"You can force sponsored / featured folders to display on top of browse page by selecting one of the following";"You can force sponsored / featured folders to display on top of browse page by selecting one of the following"
"Pre-Ordering Priority";"Pre-Ordering Priority"
"User preference";"User preference"
"Enter the your license key that is provided to you when you purchased this plugin. If you do not know your license key, please contact Radcodes support team.";"Enter the your license key that is provided to you when you purchased this plugin. If you do not know your license key, please contact Radcodes support team."

# admin - manage
"This page lists all of the folders your users have posted. You can use this page to monitor these folders and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific folders. Leaving the filter fields blank will show all the folders on your social network.";"This page lists all of the folders your users have posted. You can use this page to monitor these folders and delete offensive material if necessary. Entering criteria into the filter fields will help you find specific folders. Leaving the filter fields blank will show all the folders on your social network."
"%d folder found";"%d folder found";"%d folders found"
"There are no folders posted by your members yet.";"There are no folders posted by your members yet."
"Delete Folder?";"Delete Folder?"
"Are you sure that you want to delete this folder? It will not be recoverable after being deleted.";"Are you sure that you want to delete this folder? It will not be recoverable after being deleted."
"Delete the selected folders?";"Delete the selected folders?"
"Are you sure that you want to delete the %d folders? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d folders? It will not be recoverable after being deleted."
"Icon";"Icon"
"N/A";"N/A"
"Not Featured";"Not Featured"
"Not Sponsored";"Not Sponsored"
"Parent ID";"Parent ID"
"Parent";"Parent"
"Files";"Files"

# home page
"Browse Folders";"Browse Folders"
"My Folders";"My Folders"
"Share New Files";"Share New Files"
"Top Posters";"Top Posters"
"Next &raquo;";"Next &raquo;"
"Sponsored Folders";"Sponsored Folders"
"Featured Folders";"Featured Folders"
"All Folder Tags";"All Folder Tags"
"Recent Folders";"Recent Folders"
"Folder Home Page";"Folder Home Page"
"This is the home page for folders.";"This is the home page for folders."
"Folder Browse Page";"Folder Browse Page"
"This is the browse page for folders.";"This is the browse page for folders."
"Folder: %s";"Folder: %s"
"Featured: %s";"Featured: %s"
"Sponsored: %s";"Sponsored: %s"
"Edit Folder";"Edit Folder"
"Delete Folder";"Delete Folder"

"In %1$s / <strong>%2$s</strong>&#39;s %3$s";"In %1$s / <strong>%2$s</strong>&#39;s %3$s"
"This is the home / landing page for folders.";"This is the home / landing page for folders."
"Shared Folders";"Shared Folders"

"Showing folders";"Showing folders"
"with %s type";"with %s type"
"Folders / %s";"Folders / %s"
"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below.";"These settings are applied on a per member level basis. Start by selecting the member level you want to modify, then adjust the settings for that level below."
"There are no folders posted yet.";"There are no folders posted yet."
"Nobody has posted any folders yet.";"Nobody has posted any folders yet."
"You can optionally protect this folder by providing a secret code above. Viewers will be prompt to enter this secret code to reveal folder's content.";"You can optionally protect this folder by providing a secret code above. Viewers will be prompt to enter this secret code to reveal folder's content."
"Showing %1$s out of %2$s folders";"Showing %1$s out of %2$s folders"
"View All Folders";"View All Folders"
"for %s";"for %s"
"(x)";"(x)"
"Featured Folder?";"Featured Folder?"
"Would you like to mark this folder as featured?";"Would you like to mark this folder as featured?"
"Sponsored Folder?";"Sponsored Folder?"
"Would you like to mark this folder as sponsored?";"Would you like to mark this folder as sponsored?"
"Showing %1$s out of %2$s folders";"Showing %1$s out of %2$s folders"
"There are no folders created yet.";"There are no folders created yet."
"Create one to start sharing files.";"Create one to start sharing files."

# create folder
"Example: ""Marketing Brochures""";"Example: ""Marketing Brochures"""
"Provide a brief info about content of this folder";"Provide a brief info about content of this folder"
"Please fill out the form below, then click ""Continue"" to move on to next step.";"Please fill out the form below, then click ""Continue"" to move on to next step."

"Folder Name";"Folder Name"
"Privacy Details";"Privacy Details"

"Who may see this folder?";"Who may see this folder?"
"Who may post comments on this folder?";"Who may post comments on this folder?"
"Show this folder in search results";"Show this folder in search results"
"Post Folder";"Post Folder"
"Tags (Keywords)";"Tags (Keywords)"
"You have already created the maximum number of folder postings allowed.";"You have already created the maximum number of folder postings allowed."
