"Group";"Circle"
"Groups";"Circles"
"view";"view"
"View All Groups";"View All Circles"
"group";"circle";"circles"
"%s group";"%s circle";"%s circles"

"This group has %s member.";"This circle has %s member.";"This circle has %s members."

"Delete Group:";"Delete Circle:"
"Create New Group";"Create New Circle"
"Create Group";"Create Circle"
"Edit Group";"Edit Circle"
"Delete Group";"Delete Circle"
"Join Group";"Join Circle"
"Leave Group";"Leave Circle"

"%s member";"%s member";"%s members"
"led by";"led by"
"led by %1$s";"led by %1$s"

"You have no friends you can invite.";"You have no friends you can invite."

"Tip: %1$sClick here%2$s to create the first group!";"Tip: %1$sClick here%2$s to create the first circle!"
"Tip: %1$sClick here%2$s to create a group or %3$sbrowse%2$s for groups to join!";"Tip: %1$sClick here%2$s to create a circle or %3$sbrowse%2$s for circles to join!"

"Close";"Close"
"You have no friends you can invite.";"You have no friends you can invite."

"&#187; Photos";"&#187; Photos"
"Group Photos";"Circle Photos"
"&#187;";"&#187;"
"Photos";"Photos"

"ADD TAG";"ADD TAG"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."

"Photo";"Photo"
"of";"of"

"Next";"Next"
"Prev";"Prev"

"By";"By"
"Tagged:";"Tagged:"
"Added";"Added"

"Add Tag";"Add Tag"

"Quote";"Quote"
"Edit";"Edit"
"Delete";"Delete"
"Share";"Share"
"Report";"Report"
"Make Profile Photo";"Make Profile Photo"

"%s total view";"%s total view";"%s total views"
"%s total member";"%s total member";"%s total members"
"Last updated %s";"Last updated %s"
"%s group invite";"%s circle invite";"%s circle invites"

"This group has %s member waiting for approval or waiting for an invite response.";"This circle has %s member waiting for approval or waiting for an invite response.";"This circle has %s members waiting for approval or waiting for an invite response."

"&#187; Discussions";"&#187; Discussions"
"Discussions";"Discussions"
"Back to Group";"Back to Circle"
"reply";"reply";"replies"
"Last Post";"Last Post"

"Back to Topics";"Back to Topics"
"Post Reply";"Post Reply"
"Make Sticky";"Make Sticky"
"Remove Sticky";"Remove Sticky"
"Open";"Open"
"Rename";"Rename"
"This topic has been closed.";"This topic has been closed."

"Join Group";"Join Circle"
"or";"or"
"ignore request";"ignore request"

"Post New Topic";"Post New Topic"
"View All";"View All"

"Last Post";"Last Post"

"No topics have been posted in this group yet.";"No topics have been posted in this circle yet."
"total views";"total views"
"total members";"total members"
"last updated";"last updated"

"Add Friend";"Add Friend"
"Remove Friend";"Remove Friend"
"Remove Member";"Remove Member"
"Approve Request";"Approve Request"
"Reject Request";"Reject Request"
"Cancel Invite";"Cancel Invite"
"Demote Officer";"Demote Officer"
"Make Officer";"Make Officer"

"Previous";"Previous"
"Next";"Next"

"No photos have been uploaded to this group yet.";"No photos have been uploaded to this circle yet."
"By";"By"

"View All Photos";"View All Photos"
"Upload Photos";"Upload Photos"

"The image you selected was too large.";"The image you selected was too large."
"Your changes have been saved.";"Your changes have been saved."

"You are now a member of this group.";"You are now a member of this circle."
"You have successfully left this group.";"You have successfully left this circle."

"Group membership request sent";"Your circle membership request has been sent."
"Group membership request cancelled.";"Your circle membership request has been cancelled."

"Invalid Data";"Invalid Data"
"Invalid Method";"Invalid Method"

"You have accepted the invite to the group %s";"You have accepted the invite to the circle %s"
"You have ignored the invite to the group %s";"You have ignored the invite to the circle %s"

"Member Promoted";"This member has been successfully promoted."
"Member Demoted";"This member has been successfully demoted."
"Group member removed.";"This member has been successfully removed from the circle."
"Members invited";"The selected members have been successfully invited."

"Group request approved";"This member's circle request has been approved."
"Member title changed";"This member's title has been successfully changed."

"Changes saved";"Your changes have been saved."
"Photo deleted";"The photo has been successfully deleted."

"Max file size limit exceeded (probably).";"Max file size limit exceeded (probably)."
"Invalid request method";"Invalid request method"
"No file";"No file"
"Invalid Upload";"Invalid Upload"
"An error occurred.";"An error occurred"

"Post deleted.";"The selected post has been deleted."
"This has been closed for posting.";"This topic is closed for posting."
"Topic renamed.";"The selected topic has been successfully renamed."
"Topic deleted.";"The selected topic has been deleted."

"All My Groups";"All My Circle"
"Only Groups I Lead";"Only Circles I Lead"
"Search:";"Search:"
"View:";"View:"

"Accept Group Invitation";"Accept Circle Invitation"
"Would you like to join this group?";"Would you like to join this circle?"
"Join Group";"Join Circle"
"Cancel";"Cancel"

"Approve Group Membership Request";"Approve Circle Membership Request"
"Would you like to approve the request for membership in this group?";"Would you like to approve the request for membership in this circle?"
"Approve Request";"Approve Request"

"Cancel Group Membership Request";"Cancel Circle Membership Request"
"Would you like to cancel your request for membership in this group?";"Would you like to cancel your request for membership in this circle?"
"Cancel Request";"Cancel Request"

"Demote Member";"Demote Member"
"Are you sure you want to demote this member from officer?";"Are you sure you want to demote this member from officer?"

"Edit Member Title";"Edit Member Title"
"Enter a special title for this person.";"Enter a special title for this person."
"Title";"Title"
"Save Changes";"Save Changes"

"Join Group";"Join Circle"
"Would you like to join this group?";"Would you like to join this circle?"

"Leave Group";"Leave Circle"
"Are you sure you want to leave this group?";"Are you sure you want to leave this circle?"

"Promote Member";"Promote Member"
"Are you sure you want to promote this member to officer?";"Are you sure you want to promote this member to officer?"

"Reject Group Invitation";"Reject Circle Invitation"
"Would you like to reject the invitation to this group?";"Would you like to reject the invitation to this circle?"
"Reject Invitation";"Reject Invitation"

"Are you sure you want to remove this member from the group?";"Are you sure you want to remove this member from the circle?"

"Request Group Membership";"Request Circle Membership"
"Would you like to request membership in this group?";"Would you like to request membership in this circle?"
"Send Request";"Send Request"

"Delete Group Photo";"Delete Circle Photo"
"Are you sure you want to delete this photo?";"Are you sure you want to delete this photo?"
"Delete Photo";"Delete Photo"

"Edit Photo";"Edit Photo"
"Title";"Title"
"Description";"Description"

"Group Info";"Circle Info"
"Edit Group Details";"Edit Circle Details"
"Edit Group Style";"Edit Circle Style"
