"Resumes Plugin";"CV Profiler Plugin"
"Resume";"CV Profile"
"resume";"cv profile"
"Resumes";"CV Profiles"
"resumes";"cv profiles"
"%d resume";"%d CV profile";"%d CV Profiles"
"resume";"CV Profile";"CV Profiles"
"%s view";"%s view";"%s views"
"%s comment";"%s comment";"%s comments"
"%s like";"%s like";"%s likes"
"%1$s like";"%1$s like";"%1$s likes"
"Publish: %s";"Publish: %s"
"%s resume entry";"%s CV Profile entry";"%s CV Profile entries"

"ITEM_TYPE_RESUME";"CV Profiles"

# activity notifications
"ACTIVITY_TYPE_RESUME_STATUS_UPDATE";"When someone updates status of a resume that I posted."
"ACTIVITY_TYPE_COMMENTED_RESUME";"When someone comments on a resume I commented on."
"ACTIVITY_TYPE_COMMENT_RESUME";"When someone comments on one of my resumes."
"ACTIVITY_TYPE_LIKED_RESUME";"When someone comments on a resume I liked."
"ACTIVITY_TYPE_LIKE_RESUME";"When someone likes one of my resumes."

"ADMIN_ACTIVITY_TYPE_RESUME_NEW";"When a new resume is posted."
"ADMIN_ACTIVITY_TYPE_COMMENT_RESUME";"When someone comments on my resume."

"_ACTIVITY_ACTIONTYPE_COMMENT_RESUME";"Comments on your resumes"
"_ACTIVITY_ACTIONTYPE_RESUME_NEW";"New resumes"

"Free";"Free"
"%1$s for %2$s %3$s";"%1$s for %2$s %3$s"
"%1$s for forever";"%1$s for forever"
"month";"month";"months"
"week";"week";"weeks"
"year";"year";"years"

"5 ml";"5 ml"
"10 ml";"10 ml"
"25 ml";"25 ml"
"50 ml";"50 ml"
"100 ml";"100 ml"
"250 ml";"250 ml"
"500 ml";"500 ml"
"Last Updated";"Last Updated"
"Keywords";"Keywords"
"Within Distance";"Within Distance"
"Sort By";"Sort By"
"Nobody has posted any resumes with that criteria.";"Nobody has posted any resumes with that criteria."

"Resume Details";"Resume Details"

# activity feeds
"{item:$subject} posted a new resume:";"{item:$subject} posted a new resume:"
"{item:$subject} commented on {item:$owner}'s {item:$object:resume}: {body:$body}";"{item:$subject} commented on {item:$owner}'s {item:$object:resume}: {body:$body}"
"Your {item:$object} resume status has been updated to {var:$status}.";"Your {item:$object} resume status has been updated to {var:$status}."

# resume statuses
"Approved";"Approved"
"Rejected";"Rejected"
"Cancelled";"Cancelled"
"Refunded";"Refunded"
"Reviewing";"Reviewing"
"Pending";"Pending"
"Queued";"Queued"

# categories
"Accounting/Finance";"Accounting/Finance"
"Admin/Management";"Admin/Management"
"Biotech/R&D/Science";"Biotech/R&D/Science"
"Building/Construction";"Building/Construction"
"Creative/Design";"Creative/Design"
"Customer/Help Support";"Customer/Help Support"
"Education/Training";"Education/Training"
"Engineering/IT";"Engineering/IT"
"Medical/Health";"Medical/Health"
"Law/Paralegal";"Law/Paralegal"
"Sales/Marketing/Retail";"Sales/Marketing/Retail"
"Other";"Other"

# sections
"Objective";"Objective"
"Qualifications";"Qualifications"
"Experience";"Experience"
"Education";"Education"
"Skills";"Skills"
"References";"References"
"Accomplishments";"Accomplishments"
"Activities";"Activities"
"Affiliations";"Affiliations"
"Core Competencies";"Core Competencies"
"Coursework";"Coursework"
"Honors and Awards";"Honors and Awards"
"Licenses and Certifications";"Licenses and Certifications"
"Military Experience";"Military Experience"
"Patents";"Patents"
"Personal Interests";"Personal Interests"
"Publications";"Publications"
"Training";"Training"
"Custom Section Title";"Custom Section Title"

# admin menu
"Resume Packages";"Resume Packages"
"View Resumes";"View Resumes"
"Resume Questions";"Resume Questions"
"Categories";"Categories"
"Packages";"Packages"
"Payments";"Payments"

# admin - package
"You can define various of packages for resume listings, as well as their costs, duration for posting days.";"You can define various of packages for resume listings, as well as their costs, duration for posting days."

"Featured";"Featured"
"Sponsored";"Sponsored"
"Auto Process";"Auto Process"
"Allow Upgrade";"Allow Upgrade"
"Allow Renew";"Allow Renew"
"no icon";"no icon"
"%1$s for forever";"%1$s for forever"

"Yes, mark resume as Featured when created.";"Yes, mark resume as Featured when created."
"No, do not mark resume as Featured when created.";"No, do not mark resume as Featured when created."
"Yes, mark resume as Sponsored when created.";"Yes, mark resume as Sponsored when created."
"No, do not mark resume as Sponsored when created.";"No, do not mark resume as Sponsored when created."
"Yes, automatically update resume status with payment status";"Yes, automatically update resume status with payment status"
"No, administrator will manually process each payment";"No, administrator will manually process each payment"
"Yes, allow renewing of this package";"Yes, allow renewing of this package"
"No, do not allow renew this package (such as trial package)";"No, do not allow renew this package (such as trial package)"
"Yes, allow other packages to upgrade to this package";"Yes, allow other packages to upgrade to this package"
"No, only allow new posting (such as trial package)";"No, only allow new posting (such as trial package)"
"How much would you like to charge your member for posting under this package? If it is free to post, then enter 0 (zero) and payment would not be required.";"How much would you like to charge your member for posting under this package? If it is free to post, then enter 0 (zero) and payment would not be required."
"When should resume posted under this package expire?";"When should resume posted under this package expire?"
"Duration";"Duration"
"Would you like to mark resume as Featured when created?";"Would you like to mark resume as Featured when created?"
"Would you like to mark resume as Sponsored when created?";"Would you like to mark resume as Sponsored when created?"
