"SITEMOBILE_LOADING_PAGE_MESSAGE";"Loading..."
"SITEMOBILE_ERROR_LOADING_PAGE_MESSAGE";"Error On Loading Page"
"SITEMOBILE_LOADING_PHOTOGALLERY_MESSAGE";"Loading..."
"SITEMOBILE_PAGE_BACK";"Back"
"mobilepagetitle-sitemobile-browse-browse";"Dashboard"
"SM_GO_BACK_BUTTON";"Back"

"SITEMOBILE_PLUGIN_TITLE";"Mobile Plugin"

"SITEMOBILE_HOME_ICON_DESC";"Use this area to manage the mobile home icon for your website. You can upload home screen icon of your choice here. Click "Edit" to browse another icon for a particular size and click "Recreate from original image" to recreate the icon."


"SITEMOBILE_VIEWS_SCRIPTS_ADMINMENU_INDEX_DESCRIPTION";"Use this area to manage the various navigation menus that appear in the dashboard of mobile view of your community. When you select the menu you wish to edit, a list of the menu items it contains will be shown. You can drag these items up and down to change their order. 
You can also add a separator to visually categorize Dashboard / Panel Navigation Menu links."

"SITEMOBILE_LAYOUT_DESC";"Use the layout editor to decide what content appears on specific pages or in your site-wide header and footer. Click and drag the colored ""blocks"" to arrange the content you want on each page. Drag blocks to and from the ""Available Blocks"" area to add or remove them from your page. Use ""HTML Blocks"" if you want to drop in raw HTML or other content."sss

"SITEMOBILE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_DESCRIPTION";"Customize your community's overall look and feel by editing your current theme. Your theme consists of several CSS files. If you want to make custom changes to these files, select the one you want to edit from the pull-down below."

"SITEMOBILE_VIEWS_SCRIPTS_ADMINTHEMES_THEMES_ROLLER_DESCRIPTION";"Customize your community's overall look and feel by editing your current theme. If you want to make custom changes to these themes, edit theme settings in left side form. You can also edit swatches here. Select the color you want and drag it to the theme. If you would rather just pick an entirely different theme."

"SITEMOBILE_HTML_SETTINGS_DESC";"Use this area to manage view attributes of the various components of your site. Click "Edit" to change the attributes of components. These settings will change the mobile UI of your community."

"SITEMOBILE_SPLASH_DESC";"Use this area to upload an image for the mobile splash screen of your choice. You can view uploaded splash screen image’s preview by clicking on "Preview" link. Below, you can also add more splash screen images by using the "Add more" link. 
Note: You can add only one splash screen image for a specific dimension"

"SITEMOBILE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_REVERTTHEMEFILE";"Are you sure that you want to revert all the changes you have made to this theme? If yes, The original theme will be restored immediately and your changes lost. If you want to backup your changes, export it to your computer first."

"SITEMOBILE_VIEWS_SCRIPTS_ADMINTHEMES_INDEX_REVERTTHEMECHANGES";"Are you sure that you want to revert all the changes you have made to this theme? If yes, The original theme will be restored immediately and your changes lost. If you want to backup your changes, export it to your computer first."

"SITEMOBILE_STORAGE_UPLOAD_DESCRIPTION";"Click ""Upload Photos"" to select one or more photos from your system. After you have selected the photos click the button below your photo list to save them to your album."

"SITEMOBILE_STORAGE_UPLOAD_MUSIC_DESCRIPTION";"Click ""Add Music"" to select one or more songs from your system. After you have selected the songs click the button below the song list to save them to your playlist."

"SITEMOBILE_MANAGE_MODULE_DESC";""

# User
"mobilepagetitle-user-home-index";"Member Home Page"
"mobilepagetitle-user-browse-index";"Browse Members"
"mobilepagetitle-core-index-index";""

#Album
"mobilepagetitle-album-upload-index";"Add New Photos"
"mobilepagetitle-album-browse-index";"Browse Albums"
"mobilepagetitle-album-manage-index";"My Albums"
"mobilepagetitle-album-editphotos-album";"Manage Photos"
"mobilepagetitle-album-edit-album";"Edit Settings"

# Blog
"mobilepagetitle-blog-index-index";"Browse Entries"
"mobilepagetitle-blog-manage-index";"My Entries"
"mobilepagetitle-blog-create-index";"Write New Entry"
