"Page Profile Discussions";"Circle Profile Discussions"
"This widget forms the Discussions tab on the Page Profile and displays the discussions of the Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"This widget forms the Discussions tab on the Circle Profile and displays the discussions of the Circle. It should be placed in the Tabbed Blocks area of the Circle Profile."
"Most Discussed Pages";"Most Discussed Circles"
"Displays list of Pages having maximum number of discussions.";"Displays list of Circles having maximum number of discussions."
"Count";"Count"
"Forms the Discussions tab of your Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"Forms the Discussions tab of your Circle. It should be placed in the Tabbed Blocks area of the Circle Profile."
"Sitepagediscussion";"Sitecirclediscussion"
"Page Discussions";"Circle Discussions"
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::page topic} you posted on.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::circle topic} you posted on."
"{item:$subject} has {item:$object:posted} on a {itemParent:$object::page topic} you created.";"{item:$subject} has {item:$object:posted} on a {itemParent:$object::circle topic} you created."
"{item:$subject} posted a new discussion topic in the page {itemParent:$object:sitepage_page}: {body:$body}";"{item:$subject} posted a new discussion topic in the circle {itemParent:$object:sitecircle_circle}: {body:$body}"
"{item:$subject} replied to a discussion in the page {itemParent:$object:sitepage_page}: {body:$body}";"{item:$subject} replied to a discussion in the circle {itemParent:$object:sitecircle_circle}: {body:$body}"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_TOPIC_CREATE";"When someone creates a new circle topic."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_TOPIC_REPLY";"When someone replies to a circle topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_TOPIC_CREATE";"New circle discussion topics creates by member"
"_ACTIVITY_ACTIONTYPE_SITEPAGE_TOPIC_REPLY";"Replying to a circle discussion topic"
"This topic is closed for posting.";"This topic is closed for posting."
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_TOPIC_CREATE";"When circle admin creates a new circle topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_TOPIC_CREATE";"New circle discussion topics creates by circle admin"
"{item:$object} posted a new discussion topic:";"{item:$object} posted a new discussion topic:"
"{item:$subject} posted a new discussion topic in the page {item:$object}:";"{item:$subject} posted a new discussion topic in the circle {item:$object}:"
"Directory / Pages - Discussions Extension";"Directory / Circles - Discussions Extension"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When circle admin replies to a circle topic."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_ADMIN_TOPIC_REPLY";"When circle admin replies to a circle topic."
"{item:$object} posted a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$object} posted a {itemChild:$object:sitecircle_topic:$child_id} in the circle {item:$object}: {body:$body}"
"{item:$object} replied to a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$object} replied to a {itemChild:$object:sitecircle_topic:$child_id} in the circle {item:$object}: {body:$body}"
"{item:$subject} posted a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} posted a {itemChild:$object:sitecircle_topic:$child_id} in the circle {item:$object}: {body:$body}"
"{item:$subject} replied to a {itemChild:$object:sitepage_topic:$child_id} in the page {item:$object}: {body:$body}";"{item:$subject} replied to a {itemChild:$object:sitecircle_topic:$child_id} in the circle {item:$object}: {body:$body}"
"{item:$subject} has created a page discussion {var:$eventname}.";"{item:$subject} has created a circle discussion {var:$eventname}."
