"File size can not be exceed from";"File size can not be exceed from"
"Your changes were saved. Click <a href=\'%1$s\'>here</a> to view your document.";"Your changes were saved. Click <a href=\'%1$s\'>here</a> to view your document."
"KB for this user level";"KB for this user level"
"You do not have permission to view this document.";"You do not have permission to view this document."
"Please enter a valid email.";"Please enter a valid email."
"Please enter the subject.";"Please enter the subject."
"Email has been sent successfully.";"Email has been sent successfully."
"There was an error in sending your email. Please try again later.";"There was an error in sending your email. Please try again later."
"Document successfully made featured.";"Document successfully made featured."
"Document successfully made un-featured.";"Document successfully made un-featured."
"Add New Document";"Add New Document"
"Add a new document to this Page by filling the information below, then click 'Submit'.";"Add a new document to this Page by filling the information below, then click 'Submit'."
"Document Title";"Document Title"
"Document description";"Document description"
"License Associated";"License Associated"
"LICENSES-INFO";"Choose the license to be associated with your document. See here for more information on licenses : <a href='http://creativecommons.org/about/licenses/meet-the-licenses' target='_parent'>http://creativecommons.org/about/licenses/meet-the-licenses</a>"
"Browse and choose a file for your document. Maximum permissible size: %s KB and allowed file types: pdf, txt, ps, rtf, epub, odt, odp, ods, odg, odf, sxw, sxc, sxi, sxd, doc, ppt, pps, xls, docx, pptx, ppsx, xlsx, tif, tiff";"Browse and choose a file for your document. Maximum permissible size: %s KB and allowed file types: pdf, txt, ps, rtf, epub, odt, odp, ods, odg, odf, sxw, sxc, sxi, sxd, doc, ppt, pps, xls, docx, pptx, ppsx, xlsx, tif, tiff"
"Document File";"Document File"
"Allow Document Download";"Allow Document Download"
"Yes, allow document download.";"Yes, allow document download."
"No, do not allow document download.";"No, do not allow document download."
"Allow Email Attachment";"Allow Email Attachment"
"Yes, allow document to be emailed as attachment.";"Yes, allow document to be emailed as attachment."
"No, do not allow document to be emailed as attachment.";"No, do not allow document to be emailed as attachment."
"Secure iPaper Document";"Secure iPaper Document"
"Make iPaper document secure. Do not allow embedding on other sites.";"Make iPaper document secure. Do not allow embedding on other sites."
"Do not make iPaper document secure. Allow embedding on other sites.";"Do not make iPaper document secure. Allow embedding on other sites."
"Show this document in search results.";"Show this document in search results."
"Submit";"Submit"
"Edit Page Document";"Edit Page Document"
"Edit the information of your document using the form below.";"Edit the information of your document using the form below."

"Everyone’s Documents";"Everyone’s Documents"
"My Documents";"My Documents"
"Documents of Pages I Like";"Documents of Pages I Like"
"Forms the Documents tab of your Page and shows the documents of your Page. It should be placed in the Tabbed Blocks area of the Page Profile.";"Forms the Documents tab of your Page and shows the documents of your Page. It should be placed in the Tabbed Blocks area of the Page Profile."
"Displays recent documents of your Page.";"Displays recent documents of your Page."
"Displays popular documents of your Page.";"Displays popular documents of your Page."
"Displays most commented documents of your Page.";"Displays most commented documents of your Page."
"Displays most liked documents of your Page.";"Displays most liked documents of your Page."
"Displays top rated documents of your Page.";"Displays top rated documents of your Page."
"Displays featured documents of your Page.";"Displays featured documents of your Page."
"Page Documents";"Page Documents"

"{item:$subject} created a new document in the page {item:$object}:";"{item:$subject} created a new document in the page {item:$object}:"
"Are you sure that you want to delete the Page document titled ""%1$s"" last modified %2$s? It will not be recoverable after being deleted.";"Are you sure that you want to delete the Page document titled ""%1$s"" last modified %2$s? It will not be recoverable after being deleted."
"Attachment";"Attachment"
"Subject";"Subject"
"Message";"Message"
"Your document has been featured.";"Your document has been featured."
"Make Page Document Featured ?";"Make Page Document Featured ?"
"Are you sure that you want to make this Page document featured ?";"Are you sure that you want to make this Page document featured ?"
"Make Page Document Un-featured ?";"Make Page Document Un-featured ?"
"Are you sure that you want to make this Page document un-featured ?";"Are you sure that you want to make this Page document un-featured ?"
"Make Un-featured";"Make Un-featured"
"Your document has been published.";"Your document has been published."
"Publish Page Document ?";"Publish Page Document ?"
"Are you sure that you want to publish this Page document ?";"Are you sure that you want to publish this Page document ?"
"Publish";"Publish"
"rating";"rating"
"Send";"Send"
"Thank you for rating to this document!";"Thank you for rating to this document!"
"%s rating";"%s rating";"%s ratings"
"you have already rated this document";"you have already rated this document"
"Only logged-in user can rate";"Only logged-in user can rate"
"Please click to rate";"Please click to rate"
"Publish Document";"Publish Document"
"Edit Document";"Edit Document"
"Add Document";"Add Document"
"Back to Page";"Back to Page"
"Delete Document";"Delete Document"
"'s Documents";"'s Documents"
"Created by %s %s";"Created by %s %s"
"Document format conversion in progress.";"Document format conversion in progress."
"This document has been deleted at Scribd. Please";"This document has been deleted at Scribd. Please"
"it to upload a new file.";"it to upload a new file."
"Format conversion for this document failed.";"Format conversion for this document failed."
"This work is licensed under a";"This work is licensed under a"
"Creative Commons Attribution-Noncommercial 3.0 Unported License.";"Creative Commons Attribution-Noncommercial 3.0 Unported License."
"Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported License.";"Creative Commons Attribution-Noncommercial-No Derivative Works 3.0 Unported License."
"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported License.";"Creative Commons Attribution-Noncommercial-Share Alike 3.0 Unported License."
"Creative Commons Attribution-No Derivative Works 3.0 Unported License.";"Creative Commons Attribution-No Derivative Works 3.0 Unported License."
"Creative Commons Attribution-Share Alike 3.0 Unported License.";"Creative Commons Attribution-Share Alike 3.0 Unported License."
"Creative Commons Attribution 3.0 Unported License.";"Creative Commons Attribution 3.0 Unported License."
"This document is";"This document is"
"all rights reserved.";"all rights reserved."
"Email as attachment";"Email as attachment"
"Share Document";"Share Document"
"Download Document";"Download Document"
"Email Document";"Email Document"
"Report Document";"Report Document"
"Social Share";"Social Share"
"Document Visibility";"Document Visibility"
"Documents visible only on this website will be private and available only on your website, whereas the ones which will be public on Scribd.com will be available to everyone on Scribd";"Documents visible only on this website will be private and available only on your website, whereas the ones which will be public on Scribd.com will be available to everyone on Scribd"
"Add a Document";"Add a Document"
"Search: ";"Search: "
"Created %s by %s";"Created %s by %s"
"Created by %s about %s";"Created by %s about %s"
"Show my documents";"Show my documents"
"Search:";"Search:"
"Browse by:";"Browse by:"
"Most Rated";"Most Rated"
"View Document";"View Document"
"Not Approved";"Not Approved"
"Format conversion for this document failed. Please";"Format conversion for this document failed. Please"
"this document or";"this document or"
"This document has been deleted at Scribd. The document creator has been notified so that he may edit it to upload a new file. You may delete this document by clicking";"This document has been deleted at Scribd. The document creator has been notified so that he may edit it to upload a new file. You may delete this document by clicking"
"Next";"Next"
"No documents were found matching your search criteria.";"No documents were found matching your search criteria."
"No documents have been added to this Page yet.";"No documents have been added to this Page yet."
"Be the first to %1$sadd%2$s one!";"Be the first to %1$sadd%2$s one!"
"&raquo; Documents";"&raquo; Documents"
"Page Document View";"Page Document View"
"Page Document View Options";"Page Document View Options"
"Displays various action link options to users viewing a Page Document. This Widget should be placed on the Page Document View Page in the right column, below the Page Document\'s Owner Photo.";"Displays various action link options to users viewing a Page Document. This Widget should be placed on the Page Document View Page in the right column, below the Page Document\'s Owner Photo."
"Page Document\'s Owner Photo";"Page Document\'s Owner Photo"
"Displays page owner\'s photo with page owner\'s name to users viewing Page Document. This widget should be placed on Page Document View Page.";"Displays page owner\'s photo with page owner\'s name to users viewing Page Document. This widget should be placed on Page Document View Page."
"Displays recent Page Documents corresponding to the Page of which the document is being viewed. You can choose the number of entries to be shown. This widget should be placed on Page Document View Page.";"Displays recent Page Documents corresponding to the Page of which the document is being viewed. You can choose the number of entries to be shown. This widget should be placed on Page Document View Page."
"Recent Documents from Page";"Recent Documents from Page"
"Document of the Day";"Document of the Day"
"Browse Documents";"Browse Documents"
"Recent Page Documents";"Recent Page Documents"
"Make Document of the Day";"Make Document of the Day"
"Add a Document of the Day";"Add a Document of the Day"
