"Members Invite Others";"Members Invite Others"
"Do you want page members to invite other people to this page?";"Do you want page members to invite other people to this page?"
"Yes, members can invite other people.";"Yes, members can invite other people."
"No, only page admins can invite other people";"No, only page admins can invite other people"
"Approve Members";"Approve Members"
"When people try to join this page, should they be allowed to join immediately, or should they be forced to wait for approval?";"When people try to join this page, should they be allowed to join immediately, or should they be forced to wait for approval?"
"New members can join immediately.";"New members can join immediately."
"New members must be approved.";"New members must be approved."
"Page Members Only";"Page Members Only"
"Who Liked This Page";"Who Liked This Page"
"PAGEMEMBER_TITLE";"Role"
"MEMBER_DATE";"Affiliation Date"
"PAGEMEMBER_OWNER";"Owner"
"PAGEMEMBER_ADMIN";"Page Admin"
"PAGEMEMBER_MEMBER";"Member"
"ADMIN_ACTIVITY_TYPE_SITEPAGE_JOIN";"When someone join the page."
"_ACTIVITY_ACTIONTYPE_SITEPAGE_JOIN";"When I join the page"
"_EMAIL_SITEPAGEMEMBER_REQUEST_EMAIL_TITLE";"Page Membership Request"
"_EMAIL_SITEPAGEMEMBER_REQUEST_EMAIL_DESCRIPTION";"This email goes to the owner and page admin of the Page when member send request to join the page."
"_EMAIL_SITEPAGEMEMBER_REQUEST_EMAIL_SUBJECT";"Page member request: [page_title]."
"_EMAIL_SITEPAGEMEMBER_REQUEST_EMAIL_BODY";"[header]

You have received a membership request in the page: [page_title_with_link].

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"_EMAIL_SITEPAGEMEMBER_APPROVE_EMAIL_TITLE";"Page Member Request Approve"
"_EMAIL_SITEPAGEMEMBER_APPROVE_EMAIL_DESCRIPTION";"This email goes to the member who send request to join the page."
"_EMAIL_SITEPAGEMEMBER_APPROVE_EMAIL_SUBJECT";"Page Member Request Approve: [page_title]."
"_EMAIL_SITEPAGEMEMBER_APPROVE_EMAIL_BODY";"[header]

You are now the member of the Page: [page_title_with_link].

To visit this page, click on the link below, or copy-paste it in your browser:
[object_link]

[footer]
"
"Join More Pages";"Join More Pages"
"You have already sent a membership request.";"You have already sent a membership request."
"You are now a member of this page.";"You are now a member of this page."
"Leave Page";"Leave Page"
"Are you sure you want to leave this page?";"Are you sure you want to leave this page?"
"You have successfully left this page.";"You have successfully left this page."
"Request Page Membership";"Request Page Membership"
"Would you like to request membership in this page?";"Would you like to request membership in this page?"
"Send Request";"Send Request"
"Your Page Membership request has been sent successfully.";"Your Page Membership request has been sent successfully."
"Cancel Page Membership Request";"Cancel Page Membership Request"
