"Filled value can not be zero !";"Filled value can not be zero !"
"You must provide at least two possible answers.";"You must provide at least two possible answers."
"Please select end-date and time from calendar !";"Please select end-date and time from calendar !"
"This poll does not seem to exist anymore.";"This poll does not seem to exist anymore."
"You have already voted on this poll, and are not permitted to change your vote.";"You have already voted on this poll, and are not permitted to change your vote."
"%s vote";"%s vote";"%s votes"
"%1$s vote";"%1$s vote";"%1$s votes"
"%1$s%%";"%1$s%%"
"Enable polls module for the default package that was created upon installation of the ""Directory / Pages Plugin"". If enabled, Polls App will also be enabled for the Pages created so far under the default package.";"Enable polls module for the default package that was created upon installation of the ""Directory / Circles Plugin"". If enabled, Polls App will also be enabled for the Circles created so far under the default package."
"Enable Polls Module for Default Package";"Enable Polls Module for Default Package"
"Maximum Options";"Maximum Options"
"Change Vote";"Change Vote"
"Do you want to permit your members to change their vote?";"Do you want to permit your members to change their vote?"
"What maximum limit should be applied to the number of characters in the titles of items in the widgets? (Enter a number between 1 and 999. Titles having more characters than this limit will be truncated. Complete titles will be shown on mouseover.)";"What maximum limit should be applied to the number of characters in the titles of items in the widgets? (Enter a number between 1 and 999. Titles having more characters than this limit will be truncated. Complete titles will be shown on mouseover.)"
"Polls Link";"Polls Link"
"All polls in descending order of creation.";"All polls in descending order of creation."
"All polls in alphabetical order.";"All polls in alphabetical order."
"Sponsored polls followed by others in descending order of creation.(If you have enabled packages.)";"Sponsored polls followed by others in descending order of creation.(If you have enabled packages.)"
"Page Poll View";"Circle Poll View"
"Configure the general settings for the various widgets available with this plugin.";"Configure the general settings for the various widgets available with this plugin."
"Page Profile Most Commented Polls";"Circle Profile Most Commented Polls"
"How many polls should be shown in the Page Profile Most Commented Polls Widget (value cannot be empty or zero) ?";"How many polls should be shown in the Circle Profile Most Commented Polls Widget (value cannot be empty or zero) ?"
"Page Profile Most Viewed Polls";"Circle Profile Most Viewed Polls"
"How many polls should be shown in the Page Profile Most Viewed Polls Widget (value cannot be empty or zero) ?";"How many polls should be shown in the Circle Profile Most Viewed Polls Widget (value cannot be empty or zero) ?"
"Page Profile Most Recent Polls";"Circle Profile Most Recent Polls"
