"Geo-Location, Geo-Tagging, Check-Ins and Places";"Geo-Location, Geo-Tagging, Check-Ins and Places"
"Geo-Location, Geo-Tagging, Check-Ins and Places Plugin";"Geo-Location, Geo-Tagging, Check-Ins and Places Plugin"

#Global Settings
"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"Enter License key";"Enter License key"
"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )";"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )"
"Google Places API";"Google Places API"
"The Google Places API Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]";"The Google Places API Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]"
"Tooltip Background Color";"Tooltip Background Color"
"Select a color for the background of the tooltip displayed on the map showing feeds while Check-in. (Click on the rainbow below to choose your color.)";"Select a color for the background of the tooltip displayed on the map showing feeds while Check-in. (Click on the rainbow below to choose your color.)"

#Location Entities
"Location Entities";"Location Entities"
"Location Entities Settings";"Location Entities Settings"
"Below, you can choose to enable users to add location to their photos on your website with Places, or with Pages using '%1sDirectory Items / Pages Plugin%2s' having location associated with them.)";"Below, you can choose to enable users to add location to their photos on your website with Places, or with Pages using '%1sDirectory Items / Pages Plugin%2s' having location associated with them.)"
"Selectable Location Entities";"Selectable Location Entities"
"Choose the location entities that you want to be selectable while adding location to photos on your site.";"Choose the location entities that you want to be selectable while adding location to photos on your site."
"Save Tagged Location Entities";"Save Tagged Location Entities"
"Do you want to save location entities tagged by a user?";"Do you want to save location entities tagged by a user?"


#Check-in Settings
"Check-Ins";"Check-Ins"
"Check-in Settings";"Check-in Settings"
"This feature enables users to check-in into various contents on your website. Below, you can configure the settings for check-ins.";"This feature enables users to check-in into various contents on your website. Below, you can configure the settings for check-ins."
"Maximum Time for Checked-in Status in a Content";"Maximum Time for Checked-in Status in a Content"
"Select the maximum time duration for which users will be assumed to be checked-in into a content. (Note: Users will be automatically checked out from the content before the selected time duration, once they check-in into some other content.)";"Select the maximum time duration for which users will be assumed to be checked-in into a content. (Note: Users will be automatically checked out from the content before the selected time duration, once they check-in into some other content.)"
"Check-in via Status Update Box";"Check-in via Status Update Box"
"Do you want to enable Check-in via the status update box? (Selecting 'Yes' over here will enable users to share their location while updating status from the status update box available on their Home Pages or Member Profile Pages.)";"Do you want to enable Check-in via the status update box? (Selecting 'Yes' over here will enable users to share their location while updating status from the status update box available on their Home Pages or Member Profile Pages.)"

#Manage Modules
"Manage Modules";"Manage Modules"
"Manage Modules for Check-ins";"Manage Modules for Check-ins"
"Here you can manage various modules in which you want users to be able to check-in. Here, you can add new modules to enable users to check-in into them from their view pages. Thus, this interface enables you to extend this plugin to ANY CONTENT MODULE of your site that enables users on your site to check-in into any module of your site. If you do not want users to check-in into a content, then simply disable that module from here. For more tips on this section, visit the FAQ page.";"Here you can manage various modules in which you want users to be able to check-in. Here, you can add new modules to enable users to check-in into them from their view pages. Thus, this interface enables you to extend this plugin to ANY CONTENT MODULE of your site that enables users on your site to check-in into any module of your site. If you do not want users to check-in into a content, then simply disable that module from here. For more tips on this section, visit the FAQ page."
"Add New Module for Check-ins";"Add New Module for Check-ins"
"Use the form below to configure content from a module of your site to enable users to check-in into its content from its view page. Start by selecting a content module, and then entering the various database table related field names. In case of doubts regarding any field name, please contact the developer of that content module.";"Use the form below to configure content from a module of your site to enable users to check-in into its content from its view page. Start by selecting a content module, and then entering the various database table related field names. In case of doubts regarding any field name, please contact the developer of that content module."
"Enable Module for Check-ins";"Enable Module for Check-ins"
"Make content from this module available to users to check-in into it.";"Make content from this module available to users to check-in into it."
"Delete Content Module ?";"Delete Content Module ?"
"Are you sure that you want to delete the Content Module, '%s'? It will not be recoverable after being deleted.";"Are you sure that you want to delete the Content Module, '%s'? It will not be recoverable after being deleted."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_ADD_TO_MAP";"When a user (subject) adds current date while checking into any content."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_ADD_TO_MAP";"When someone adds current date while checking into any content posted by me."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_CONTENT";"When a user (subject) checks into any content"
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_CONTENT";"When someone checks into any content posted by me."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_LOCATION";"When a user (subject) adds location to his photos (object)."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_LOCATION";"When I add location to my photos (object)."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_ALBUM_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object)."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_ALBUM_PHOTO_NEW";"When I add location to my photo albums (object)."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_CHECKIN";"When a user (subject) only post his location."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_CHECKIN";"When I post only my location."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_POST";"When a user (subject) adds location while posting in a content."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_POST";"When I add location while posting in a content."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_POST_SELF";"When a user (subject) adds location to his posts."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_POST_SELF";"When I add location to my posts."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SBAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Business."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_SBAL_PHOTO_NEW";"When I add location to my photo albums (object) posted in any Business."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SPAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Page."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_SPAL_PHOTO_NEW";"When I add location to my photo albums (object) posted in any Page."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SGAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Group."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_SGAL_PHOTO_NEW";"When I add location to my photo albums (object) posted in any Group."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SSAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Store."
"_ACTIVITY_ACTIONTYPE_SITETAGCHECKIN_SSAL_PHOTO_NEW";"When I add location to my photo albums (object) posted in any Store."
"ADMIN_ACTIVITY_TYPE_SITETAGCHECKIN_SEAL_PHOTO_NEW";"When a user (subject) adds location to his photo albums (object) posted in any Event."
