"Delete Link?";"Delete Link?"
"Are you sure that you want to delete this link? It will not be recoverable after being deleted.";"Are you sure that you want to delete this link? It will not be recoverable after being deleted."
"Report Post";"Report Post"
"Report wrong post in a topic to admin";"Report wrong post in a topic to admin"

"Group";"Circle"
"Groups";"Circles"
"%s topic";"%s topic";"%s topics"
"View All Groups";"View All Circles"
"group";"circle";"circles"
"%s group";"%s circle";"%s circles"
"Tags (Keywords)";"Tags (Keywords)"
"This group has %s member.";"This circle has %s member.";"This circle has %s members."
"Choose the activity action types that you want to public on the group activity.";"Choose the activity action types that you want to public on the circle activity."
"Public Activities";"Public Activities"
"Choose All Activities";"Choose All Activities"
"No links have been added in this group yet.";"No links have been added in this circle yet."
"Currently, there are no members you can invite.";"Currently, there are no members you can invite."

"Currently, there are no friends that you can invite.";"Currently, there are no friends that you can invite."
"No albums have been uploaded to this group yet.";"No albums have been uploaded to this circle yet."
"If the person you invited decide to join, he/she will be automatically added to your group.";"If the person you invited decide to join, he/she will be automatically added to your circle.";"If the persons you invited decide to join, they will be automatically added to your circle."
"Invitation Sent";"Invitation Sent";"Invitations Sent";

"You must be a member of group";"You must be a member of circle"
"before you can join this group.";"before you can join this circle."
"Parent Group";"Parent Circle"

"Delete Group:";"Delete Circle:"
"Create New Group";"Create New Circle"
"Edit Group";"Edit Circle"
"Delete Group";"Delete Circle"
"Join Group";"Join Circle"
"Leave Group";"Leave Circle"
"Ignored";"Ignored"

"%s member";"%s member";"%s members"
"led by ";"led by "
"led by %1$s";"led by %1$s"
"%d member(s)";"%d member(s)"

"You have no friends you can invite.";"You have no friends you can invite."
"You are already a member of this group.";"You are already a member of this circle."
"You must be a member of group.";"You must be a member of circle."
"You have no users you can invite.";"You have no users you can invite."

"Delete the selected report(s)?";"Delete the selected report(s)?"
"Are you sure that you want to delete the %d report(s)? It will not be recoverable after being deleted.";"Are you sure that you want to delete the %d report(s)? It will not be recoverable after being deleted."
"Delete the selected report(s)?";"Delete the selected report(s)?"
"Please select a report to delete.";"Please select a report to delete."
"Go Back";"Go Back"

"Tip: %1$sClick here%2$s to create the first group!";"Tip: %1$sClick here%2$s to create the first circle!"
"Tip: %1$sClick here%2$s to create a group or %3$sbrowse%2$s for groups to join!";"Tip: %1$sClick here%2$s to create a circle or %3$sbrowse%2$s for circles to join!"

"Close";"Close"
"You have no friends you can invite.";"You have no friends you can invite."

"&#187; Photos";"&#187; Photos"
"Group Photos";"Circle Photos"
"&#187;";"&#187;"
"Photos";"Photos"

"ADD TAG";"ADD TAG"
"Type a tag or select a name from the list.";"Type a tag or select a name from the list."

"Delete Report?";"Delete Report?"
"Are you sure that you want to delete this report? It will not be recoverable after being deleted.";"Are you sure that you want to delete this report? It will not be recoverable after being deleted."


"Photo";"Photo"
"of";"of"

"Next";"Next"
"Prev";"Prev"

"By";"By"
"Tagged:";"Tagged:"
"Added";"Added"

"Add Tag";"Add Tag"

"Quote";"Quote"
"Edit";"Edit"
"Delete";"Delete"
"Share";"Share"
"Report";"Report"
"Make Profile Photo";"Make Profile Photo"

"%s total view";"%s total view";"%s total views"
"%s total member";"%s total member";"%s total members"
"Last updated %s";"Last updated %s"
"%s advgroup invite";"%s circle invitation";"%s circle invitations"

