#Api/Core.php
"This ";"This "
" is not valid";" is not valid"
"This License Key is not valid";"This License Key is not valid"
"View Documents";"View Documents"
"Member Level Settings";"Member Level Settings"
"Categories";"Categories"
"Widget Settings";"Widget Settings"
"Document Questions";"Document Questions"
"FAQ";"FAQ"

#controllers/AdminFieldsController.php
"Add Document Question";"Add Document Question"
"Show on Member Profiles?";"Show on Member Profiles?"
"Show on Member Profiles";"Show on Member Profiles"
"Show on Member Profiles (with links)";"Show on Member Profiles (with links)"
"Hide on Member Profiles";"Hide on Member Profiles"
"Show on the search options?";"Show on the search options?"
"Hide on the search options";"Hide on the search options"
"Show on the search options";"Show on the search options"
"Edit Document Question";"Edit Document Question"

#controllers/AdminWidgetsController.php
"Filled value can not be zero !";"Filled value can not be zero !"

#controllers/AdminItemsController.php
"The Document of the Day has been added successfully.";"The Document of the Day has been added successfully."

#controllers/AdminProfilemapsController.php
"Mapping deleted successfully !";"Mapping deleted successfully !"

#controllers/IndexController.php
"Please complete Category field - it is required.";"Please complete Category field - it is required."
"File size can not be exceed from ";"File size can not be exceed from "
" KB for this user level";" KB for this user level"
"Invalid file extension. Allowed extensions are :'pdf', 'txt', 'ps', 'rtf', 'epub', 'odt', 'odp', 'ods', 'odg', 'odf', 'sxw', 'sxc', 'sxi', 'sxd', 'doc', 'ppt', 'pps', 'xls', 'docx', 'pptx', 'ppsx', 'xlsx', 'tif', 'tiff'";"Invalid file extension. Allowed extensions are :'pdf', 'txt', 'ps', 'rtf', 'epub', 'odt', 'odp', 'ods', 'odg', 'odf', 'sxw', 'sxc', 'sxi', 'sxd', 'doc', 'ppt', 'pps', 'xls', 'docx', 'pptx', 'ppsx', 'xlsx', 'tif', 'tiff'"
"Your changes were saved. Click <a href=\'%1$s\'>here</a> to view your document.";"Your changes were saved. Click <a href=\'%1$s\'>here</a> to view your document."
"Invalid file extension!";"Invalid file extension!"
"You do not have permission to view this document.";"You do not have permission to view this document."
"Please enter a valid email.";"Please enter a valid email."
"Please enter the subject.";"Please enter the subject."
"Email has been sent successfully.";"Email has been sent successfully."
"There was an error in sending your email. Please try again later.";"There was an error in sending your email. Please try again later."
"My Documents";"My Documents"

#Form/Admin/Admin/Items/Edit.php
"Edit Dates";"Edit Dates"
"Edit the start date and end date below.";"Edit the start date and end date below."


#Form/Admin/Admin/Items/Item.php
"Add a Document of the Day";"Add a Document of the Day"
"Select a start date and end date below and the corresponding Document from the auto-suggest Document field. The selected Document will be displayed as 'Document of the Day' for this duration and if more than one documents are found to be displayed in the same duration then they will be dispalyed randomly one at a time.";"Select a start date and end date below and the corresponding Document from the auto-suggest Document field. The selected Document will be displayed as 'Document of the Day' for this duration and if more than one documents are found to be displayed in the same duration then they will be dispalyed randomly one at a time."
"Start Date";"Start Date"
"End Date";"End Date"
"Add Document";"Add Document"

#Form/Admin/Profilemaps/Map.php
"Select Profile Type";"Select Profile Type"
"After selecting a profile type, if you click on 'Save', then the already created documents of this category will also be associated with this profile type.";"After selecting a profile type, if you click on 'Save', then the already created documents of this category will also be associated with this profile type."

#Form/Create.php
"Create New Document";"Create New Document"
"Create your new document by filling the information below, then click 'Submit'.";"Create your new document by filling the information below, then click 'Submit'."
"Document Title";"Document Title"
"Document description";"Document description"
"Only on this website";"Only on this website"
"Public on Scribd.com";"Public on Scribd.com"
"License Associated";"License Associated"
"LICENSES-INFO";"Choose the license to be associated with your document. See here for more information on licenses : <a href='http://creativecommons.org/about/licenses/meet-the-licenses' target='_parent'>http://creativecommons.org/about/licenses/meet-the-licenses</a>"
"Unspecified - no licensing information associated";"Unspecified - no licensing information associated"
"By attribution (by)";"By attribution (by)"
"By attribution, non-commercial (by-nc)";"By attribution, non-commercial (by-nc)"
"By attribution, non-commercial, non-derivative (by-nc-nd)";"By attribution, non-commercial, non-derivative (by-nc-nd)"
"By attribution, non-commercial, share alike (by-nc-sa)";"By attribution, non-commercial, share alike (by-nc-sa)"
"By attribution, non-derivative (by-nd)";"By attribution, non-derivative (by-nd)"
"By attribution, share alike (by-sa)";"By attribution, share alike (by-sa)"
"Public domain";"Public domain"
"Copyright - all rights reserved";"Copyright - all rights reserved"
"Document File";"Document File"
"Browse and choose a file for your document. Maximum permissible size: %s KB and allowed file types: pdf, txt, ps, rtf, epub, odt, odp, ods, odg, odf, sxw, sxc, sxi, sxd, doc, ppt, pps, xls, docx, pptx, ppsx, xlsx, tif, tiff";"Browse and choose a file for your document. Maximum permissible size: %s KB and allowed file types: pdf, txt, ps, rtf, epub, odt, odp, ods, odg, odf, sxw, sxc, sxi, sxd, doc, ppt, pps, xls, docx, pptx, ppsx, xlsx, tif, tiff"
"Tags (Keywords)";"Tags (Keywords)"
"Separate tags with commas.";"Separate tags with commas."
"Status";"Status"
"Published";"Published"
"Saved As Draft";"Saved As Draft"
"Yes, make this your Profile Document. (Note: At any time only one document can be showcased as your Profile Document. Thus, if you have made any document as your profile document currently, then it will be changed to this one.)";"Yes, make this your Profile Document. (Note: At any time only one document can be showcased as your Profile Document. Thus, if you have made any document as your profile document currently, then it will be changed to this one.)"
"No, do not make this your Profile Document.";"No, do not make this your Profile Document."
"If this entry is published, it cannot be switched back to draft mode.";"If this entry is published, it cannot be switched back to draft mode."
"Allow Document Download";"Allow Document Download"
"Yes, allow document download.";"Yes, allow document download."
"No, do not allow document download.";"No, do not allow document download."
"Allow Email Attachment";"Allow Email Attachment"
"Yes, allow document to be emailed as attachment.";"Yes, allow document to be emailed as attachment."
"No, do not allow document to be emailed as attachment.";"No, do not allow document to be emailed as attachment."
"Secure iPaper Document";"Secure iPaper Document"
"Make iPaper document secure. Do not allow embedding on other sites.";"Make iPaper document secure. Do not allow embedding on other sites."
"Do not make iPaper document secure. Allow embedding on other sites.";"Do not make iPaper document secure. Allow embedding on other sites."
"Show this document in search results.";"Show this document in search results."
"Everyone";"Everyone"
"All Registered Members";"All Registered Members"
"Friends and Networks";"Friends and Networks"
"Friends of Friends";"Friends of Friends"
"Friends Only";"Friends Only"
"Just Me";"Just Me"
"Privacy";"Privacy"
"View Privacy";"View Privacy"
"Who may see this document?";"Who may see this document?"
"Comment Privacy";"Comment Privacy"
"Who may post comments on this document?";"Who may post comments on this document?"
"Submit";"Submit"

#Form/Edit.php
"Edit Document";"Edit Document"
"You can edit your  document here.";"You can edit your  document here."
"Save Changes";"Save Changes"

#Form/Search.php
"Search Documents";"Search Documents"
"Browse By";"Browse By"
"Most Recent";"Most Recent"
"Most Viewed";"Most Viewed"
"Show";"Show"
"All Documents";"All Documents"
"Published Documents";"Published Documents"
"Only Drafts";"Only Drafts"
"Everyone's Documents";"Everyone's Documents"
"My Friends' Documents";"My Friends' Documents"
"All Categories";"All Categories"
"Search";"Search"
"Alphabetical";"Alphabetical"
"Most Liked";"Most Liked"
"Most Commented";"Most Commented"

#Form/Admin/Category.php
"Category Name";"Category Name"
"Add Category";"Add Category"
"cancel";"cancel"
" or ";" or "
"Edit Category";"Edit Category"

#Form/Admin/Global.php
"Global Settings";"Global Settings"
"These settings affect all members in your community.";"These settings affect all members in your community."
"License key";"License key"
"Enter License key";"Enter License key"
"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )";"Please enter your license key that was provided to you when you purchased this plugin. If you do not know your license key, please contact the Support Team of SocialEngineAddOns from the Support section of your Account Area.(Key Format: XXXXXX-XXXXXX-XXXXXX )"
"Scribd API Key";"Scribd API Key"
"The Scribd API Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]";"The Scribd API Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]"
"Scribd Secret Key";"Scribd Secret Key"
"The Scribd Secret Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]";"The Scribd Secret Key for your website. [Please visit the FAQ section to see how to obtain these credentials.]"
"Visibility for documents";"Visibility for documents"
"Documents visible only on this website will be private and available only on your website, whereas the ones which will be public on Scribd.com will be available to everyone on Scribd.(Note : This setting will only apply to new documents created and not to the existing documents on the site.)";"Documents visible only on this website will be private and available only on your website, whereas the ones which will be public on Scribd.com will be available to everyone on Scribd.(Note : This setting will only apply to new documents created and not to the existing documents on the site.)"
"Show visibility option to users. Allow users to choose whether their documents will be public or private,i.e., available only on your website, or also on Scribd.com.";"Show visibility option to users. Allow users to choose whether their documents will be public or private,i.e., available only on your website, or also on Scribd.com."
" 	Yes";" 	Yes"
" 	No";" 	No"
"Enable BBCode";"Enable BBCode"
"Yes, members can use BBCode tags.";"Yes, members can use BBCode tags."
"No, do not let members use BBCode.";"No, do not let members use BBCode."
"Enable HTML";"Enable HTML"
"Yes, members can use HTML in their posts.";"Yes, members can use HTML in their posts."
"No, strip HTML from posts.";"No, strip HTML from posts."
"Document Rating";"Document Rating"
"Logged-in users can rate documents.";"Logged-in users can rate documents."
"Report as inappropriate";"Report as inappropriate"
"Allow logged-in users to report documents as inappropriate.";"Allow logged-in users to report documents as inappropriate."
"Document Sharing";"Document Sharing"
"Logged-in users can share documents within the site.";"Logged-in users can share documents within the site."
"Social Sharing Buttons";"Social Sharing Buttons"
"Do you want to show social sharing buttons on the main document page ?";"Do you want to show social sharing buttons on the main document page ?"
" 	Yes, show the social sharing buttons on the main document page.";" 	Yes, show the social sharing buttons on the main document page."
" 	No, do not show the social sharing buttons on the main document page.";" 	No, do not show the social sharing buttons on the main document page."
"License associated with documents";"License associated with documents"
"Choose the license to be associated with the documents on your site. The license will be shown on your site, as well as on Scribd.com.";"Choose the license to be associated with the documents on your site. The license will be shown on your site, as well as on Scribd.com."
"Selecting this will allow users to choose the license to be associated with their documents.";"Selecting this will allow users to choose the license to be associated with their documents."
"Show license option to users";"Show license option to users"
"If this option is checked, the full text for a document will be visible if downloading is enabled for that document and if the iPaper viewer is not visible because of javascript being disabled on user's browser. Also, full text on the page allows search engines to index content, and increases SEO.";"If this option is checked, the full text for a document will be visible if downloading is enabled for that document and if the iPaper viewer is not visible because of javascript being disabled on user's browser. Also, full text on the page allows search engines to index content, and increases SEO."
"Include full text on pages";"Include full text on pages"
"Save documents on your site's server";"Save documents on your site's server"
"Save documents on server";"Save documents on server"
"Documents Per Page";"Documents Per Page"
"Enter the number of documents to be shown per page on the Documents listing pages. (Enter a number between 1 and 999)";"Enter the number of documents to be shown per page on the Documents listing pages. (Enter a number between 1 and 999)"
"Save Changes";"Save Changes"
"WYSIWYG Editor";"WYSIWYG Editor"
"Allow WYSIWYG editor for description of documents.";"Allow WYSIWYG editor for description of documents."
"Document Viewer Height";"Document Viewer Height"
"What should be the height in pixels of the document viewer on document view page ?";"What should be the height in pixels of the document viewer on document view page ?"
"Document Viewer Width";"Document Viewer Width"
"What should be the width in pixels of the document viewer on document view page ?":"What should be the width in pixels of the document viewer on document view page ?"
"Document pages URL alternate text for 'documents'";"Document pages URL alternate text for 'documents'"
